Service_Month,Index_Stays,Readmission_Stays,Readmission_Rate,Service_Month_Date,Import_Note,Review_Status,Batch_ID,Patient_Education_Program_Status
12-Nov,"806,387","146,140",17.85,11/1/2012,Imported from legacy system,Pending,1058,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Nov,"726,261","127,902",17.61,11/1/2015,Imported from legacy system,Pending,1094,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Oct,"833,277","148,709",18.05,10/1/2012,Imported from legacy system,Pending,1057,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Apr,"794,472","142,307",17.79,4/1/2014,Imported from legacy system,Pending,1075,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Dec,"840,028","157,820",18.12,12/1/2012,Imported from legacy system,Pending,1059,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Apr,"822,295","145,721",17.89,4/1/2013,Imported from legacy system,Pending,1063,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Apr,"803,085","142,164",17.7,4/1/2015,Imported from legacy system,Pending,1087,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Mar,"801,741","142,626",17.7,3/1/2014,Imported from legacy system,Pending,1074,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Mar,"828,487","147,271",17.78,3/1/2015,Imported from legacy system,Pending,1086,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Nov,"722,766","128,366",17.46,11/1/2014,Imported from legacy system,Pending,1082,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Dec,"774,558","141,060",17.47,12/1/2013,Imported from legacy system,Pending,1071,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Apr,"826,548","151,806",18.31,4/1/2012,Imported from legacy system,Pending,1051,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
8-Nov,"809,180","152,846",18.79,11/1/2008,Imported from legacy system,Pending,1010,Pre-program period
 May-08 ,"893,809","168,860",18.94, 2008-05-01 ,Imported from legacy system,Pending,1004,Pre-program period
 Jan-15 ,"873,673","153,700",17.59, 2015-01-01 ,Imported from legacy system,Pending,1084,Pre-program period
 May-13 ,"827,477","147,583",17.72, 2013-05-01 ,Imported from legacy system,Pending,1064,Pre-program period
 Sep-13 ,"748,034","131,179",17.83, 2013-09-01 ,Imported from legacy system,Pending,1068,Pre-program period
10-Jul,"859,616","163,480",19.21,7/1/2010,Imported from legacy system,Pending,1030,Pre-program period
11-Oct,"843,049","155,792",18.84,10/1/2011,Imported from legacy system,Pending,1045,Pre-program period
 jan-16 ,"795,097","139,270",17.52, 2016-01-01 ,Imported from legacy system,Pending,1096,Pre-program period
8-Dec,"876,942","171,304",18.89,12/1/2008,Imported from legacy system,Pending,1011,Pre-program period
 Sep-14 ,"747,180","132,855",17.81, 2014-09-01 ,Imported from legacy system,Pending,1080,Pre-program period
 Jan-08 ,"935,886","181,225",19.36, 2008-01-01 ,Imported from legacy system,Pending,1000,Pre-program period
9-Jul,"860,252","162,771",19.05,7/1/2009,Imported from legacy system,Pending,1018,Pre-program period
 sep-12 ,"778,407","140,489",18.28, 2012-09-01 ,Imported from legacy system,Pending,1056,Pre-program period
 JAN-14 ,"838,098","148,911",18.21, 2014-01-01 ,Imported from legacy system,Pending,1072,Pre-program period
 Sep-08 ,"817,662","155,218",18.91, 2008-09-01 ,Imported from legacy system,Pending,1008,Pre-program period
11-Jul,"828,706","156,830",18.85,7/1/2011,Imported from legacy system,Pending,1042,Pre-program period
 JAN-09 ,"906,141","173,816",19.53, 2009-01-01 ,Imported from legacy system,Pending,1012,Pre-program period
 jan-11 ,"908,858","172,361",19.44, 2011-01-01 ,Imported from legacy system,Pending,1036,Pre-program period
10-Mar,"942,195","177,533",19.11,3/1/2010,Imported from legacy system,Pending,1026,Pre-program period
9-Nov,"800,355","149,814",18.68,11/1/2009,Imported from legacy system,Pending,1022,Pre-program period
10-Aug,"839,950","159,475",19.02,8/1/2010,Imported from legacy system,Pending,1031,Pre-program period
11-Dec,"862,589","165,337",18.67,12/1/2011,Imported from legacy system,Pending,1047,Pre-program period
 may-14 ,"804,720","142,664",17.91, 2014-05-01 ,Imported from legacy system,Pending,1076,Pre-program period
9-Apr,"881,780","167,479",19.05,4/1/2009,Imported from legacy system,Pending,1015,Pre-program period
 Sep-11 ,"832,384","156,853",18.82, 2011-09-01 ,Imported from legacy system,Pending,1044,Pre-program period
8-Oct,"880,950","165,566",18.98,10/1/2008,Imported from legacy system,Pending,1009,Pre-program period
10-Oct,"864,873","161,547",19.01,10/1/2010,Imported from legacy system,Pending,1033,Pre-program period
 May-10 ,"866,921","163,019",18.93, 2010-05-01 ,Imported from legacy system,Pending,1028,Pre-program period
 May-11 ,"873,712","164,856",18.86, 2011-05-01 ,Imported from legacy system,Pending,1040,Pre-program period
8-Jun,"839,659","159,879",18.89,6/1/2008,Imported from legacy system,Pending,1005,Pre-program period
11-Apr,"874,945","165,010",18.97,4/1/2011,Imported from legacy system,Pending,1039,Pre-program period
10-Dec,"880,714","171,192",18.77,12/1/2010,Imported from legacy system,Pending,1035,Pre-program period
 may-09 ,"861,001","162,913",18.99, 2009-05-01 ,Imported from legacy system,Pending,1016,Pre-program period
8-Apr,"905,984","171,567",18.94,4/1/2008,Imported from legacy system,Pending,1003,Pre-program period
10-Nov,"828,111","155,420",18.68,11/1/2010,Imported from legacy system,Pending,1034,Pre-program period
8-Aug,"844,495","159,695",19.05,8/1/2008,Imported from legacy system,Pending,1007,Pre-program period
11-Aug,"847,212","159,460",18.92,8/1/2011,Imported from legacy system,Pending,1043,Pre-program period
10-Apr,"880,756","166,706",18.84,4/1/2010,Imported from legacy system,Pending,1027,Pre-program period
9-Aug,"816,421","153,423",18.92,8/1/2009,Imported from legacy system,Pending,1019,Pre-program period
 May-15 ,"784,373","139,145",17.74, 2015-05-01 ,Imported from legacy system,Pending,1088,Pre-program period
10-Feb,"825,962","157,839",18.82,2/1/2010,Imported from legacy system,Pending,1025,Pre-program period
 Sep-08 ,"817,662","155,218",18.91, 2008-09-01 ,Imported from legacy system,Pending,1008,Pre-program period
 Jan-08 ,"935,886","181,225",19.36, 2008-01-01 ,Imported from legacy system,Pending,1000,Pre-program period
9-Feb,"836,110","161,382",19.18,2/1/2009,Imported from legacy system,Pending,1013,Pre-program period
 Jan-10 ,"883,740","166,328",19.31, 2010-01-01 ,Imported from legacy system,Pending,1024,Pre-program period
8-Apr,"905,984","171,567",18.94,4/1/2008,Imported from legacy system,Pending,1003,Pre-program period
9-Jun,"848,620","161,625",18.92,6/1/2009,Imported from legacy system,Pending,1017,Pre-program period
11-Mar,"942,221","178,707",19.12,3/1/2011,Imported from legacy system,Pending,1038,Pre-program period
8-Jul,"859,820","163,771",19.04,7/1/2008,Imported from legacy system,Pending,1006,Pre-program period
 May-08 ,"893,809","168,860",18.94, 2008-05-01 ,Imported from legacy system,Pending,1004,Pre-program period
16-Mar,"838,004","147,940",17.65,3/1/2016,Imported from legacy system,Pending,1098,Pre-program period
11-Nov,"821,254","153,367",18.48,11/1/2011,Imported from legacy system,Pending,1046,Pre-program period
8-Jul,"859,820","163,771",19.04,7/1/2008,Imported from legacy system,Pending,1006,Pre-program period
 May-16 ,"769,173","134,195",17.45, 2016-05-01 ,Imported from legacy system,Pending,1100,Pre-program period
11-Jun,"851,448","160,531",18.87,6/1/2011,Imported from legacy system,Pending,1041,Pre-program period
 Jan-12 ,"885,655","164,805",19.17, 2012-01-01 ,Imported from legacy system,Pending,1048,Pre-program period
 SEP-10 ,"834,773","158,679",18.99, 2010-09-01 ,Imported from legacy system,Pending,1032,Pre-program period
8-Mar,"941,802","178,382",19.14,3/1/2008,Imported from legacy system,Pending,1002,Pre-program period
8-Aug,"844,495","159,695",19.05,8/1/2008,Imported from legacy system,Pending,1007,Pre-program period
11-Feb,"841,340","160,881",18.96,2/1/2011,Imported from legacy system,Pending,1037,Pre-program period
10-Jun,"850,681","163,454",18.8,6/1/2010,Imported from legacy system,Pending,1029,Pre-program period
16-Feb,"772,434","137,234",17.77,2/1/2016,Imported from legacy system,Pending,1097,Pre-program period
8-Feb,"931,485","178,331",19.36,2/1/2008,Imported from legacy system,Pending,1001,Pre-program period
 MAY-12 ,"850,873","156,176",18.37, 2012-05-01 ,Imported from legacy system,Pending,1052,Pre-program period
9-Oct,"868,853","162,329",19,10/1/2009,Imported from legacy system,Pending,1021,Pre-program period
8-Mar,"941,802","178,382",19.14,3/1/2008,Imported from legacy system,Pending,1002,Pre-program period
9-Dec,"858,009","165,647",18.72,12/1/2009,Imported from legacy system,Pending,1023,Pre-program period
16-Apr,"787,893","136,296",17.3,4/1/2016,Imported from legacy system,Pending,1099,Pre-program period
8-Oct,"880,950","165,566",18.98,10/1/2008,Imported from legacy system,Pending,1009,Pre-program period
 Sep-09 ,"818,412","155,529",18.79, 2009-09-01 ,Imported from legacy system,Pending,1020,Pre-program period
 Jan-13 ,"924,259","165,489",18.79, 2013-01-01 ,Imported from legacy system,Pending,1060,Pre-program period
8-Jun,"839,659","159,879",18.89,6/1/2008,Imported from legacy system,Pending,1005,Pre-program period
9-Mar,"916,021","174,510",19.3,3/1/2009,Imported from legacy system,Pending,1014,Pre-program period
 SEP-15 ,"745,365","132,845",17.82, 2015-09-01 ,Imported from legacy system,Pending,1092,Pre-program period
8-Feb,"931,485","178,331",19.36,2/1/2008,Imported from legacy system,Pending,1001,Pre-program period
